produit_id;categorie_id;sous_categorie_id;marque_id;fournisseur_id;nom_produit;description;matiere_principale;couleur_principale;style
P00001;CAT09;SC041;MAR005;FOU043;Canapé Relax;Canapé extérieur design pour profiter du jardin en famille.;Eponge PVC;Beige;Scandinave
P00002;CAT10;SC048;MAR019;FOU013;Shelving Unit;Rangement multifonctionnel pour documents et accessoires.;Métal léger et résistant;Mat noir;Contemporain minimaliste
P00003;CAT03;SC015;MAR005;FOU016;Couteau Multifonction;Couteau robuste pour toutes les préparations culinaires, pratique et ergonomique.;Acier inoxydable;Blanc;Contemporain
P00004;CAT09;SC044;MAR025;FOU017;Lampe Solaire Pix;Lampe solaire design pour éclairer votre jardin avec un design minimaliste et élégant.;Plastique;Noir;Contemporain
P00005;CAT08;SC038;MAR029;FOU034;Mixeur Versatile;Meilleur ami des gourmets, ce mixeur multi-fonctions prépare en un tour de main smoothies, sauces et pâtisseries.;Acrylique et aluminium;Mat noir;Contemporain et minimaliste
P00006;CAT01;SC002;MAR001;FOU006;Flanelo;Fauteuil confortable avec assise et dossier rembourrés.;Cuir synthetic;Beige;Scandinave
P00007;CAT03;SC015;MAR022;FOU045;Assiette Mesuretemp;Assiette en porcelaine blanche avec motif éclats de verre pour une cuisine moderne et élégante.;Porcelaine;Blanc;Retro Futuriste
P00008;CAT08;SC036;MAR021;FOU006;Cafetière Press;Cafetière press ergonomique pour un café crémeux et ardens.;Inox poli;Émail mat noire;Scandinave minimaliste
P00009;CAT06;SC027;MAR006;FOU048;Plaid WinterWarm;Plaid épais et douillet pour une chaleur cocooning pendant vos soirées à la maison.;Coton velours;Vert émeraude;Contemporain
P00010;CAT08;SC038;MAR022;FOU034;Sofa-Couch Microfibre;Confort maximal avec sa structure en microfibre résistante et facilement nettoyable.;Microfibre;Beige;Contemporain
P00011;CAT10;SC049;MAR005;FOU041;Lampe WorkLite;Lampe de bureau épurée offrant une lumière douce et concentrée.;Aluminium et verre;Noir;Contemporain
P00012;CAT05;SC022;MAR012;FOU010;Lampe Scorpio;Lampe design aux lignes épurées, idéale pour éclairer les espaces contemporains.;Aluminium anodisé;Blanc éclatant;Rétro-futuriste
P00013;CAT03;SC014;MAR010;FOU016;Boite à épices Magasinage;Organise et protège vos épices dans une boîte à couvercle hermétique.;Plastique renforcé;Beige naturel;Contemporain
P00014;CAT02;SC006;MAR007;FOU036;Lit Minimal;Lit moderne avec un design minimaliste et une structure robuste.;Acier et tissu polyester;Gris anthracite;Scandinave
P00015;CAT05;SC023;MAR012;FOU019;Vitalia;Suspension moderne offrant une lumière douce et équilibrée pour votre salon.;Aluminium et verre;Mat anthracite;Contemporain
P00016;CAT04;SC017;MAR001;FOU003;Cadre Noir Urban;Cadre élégant pour vos photos et tableaux, doté d'une finition mate et sobre.;Plastique résistant;Noir;Contemporain
P00017;CAT06;SC030;MAR002;FOU034;Terry Décontracté;Absorbant et doux, ce terry de bain apporte confort et décontraction.;Terry;Blanc;Rustique élégant
P00018;CAT02;SC006;MAR005;FOU011;Lit Comfort;Lit moderne avec sommier plat pour une mise en place simple et efficace.;Bois massif teinté;Chêne clair;Scandinave
P00019;CAT08;SC037;MAR021;FOU043;Toast'N'Bake;Toast et gratin en un, pour un petit-déjeuner délicieux et rapide.;Acier inoxydable et verre;Ébénite;Contemporain et minimaliste
P00020;CAT01;SC003;MAR008;FOU006;Basilic;Table basse design avec des lignes épurées pour un look moderne et élégant.;Verre trempé et acier inoxydable;Noir;Contemporain
P00021;CAT10;SC050;MAR019;FOU022;Tablette Espace;Support ergonomique pour ordinateur portable, favorisant la productivité.;Plastique renforcé;Noir mat;Modern
P00022;CAT03;SC015;MAR004;FOU039;Assiette Essentia;Assiette de cuisine résistante et élégante pour tous vos repas.;Porcelaine;Blanc;Contemporain
P00023;CAT04;SC018;MAR014;FOU003;Miroir Murale;Grand miroir en verre dépoli pour agrandir l'espace et apporter une note contemporaine à votre intérieur.;Verre dépoli;Blanc;Modern
P00024;CAT05;SC024;MAR011;FOU009;Applique Murale Nocturne;Luminosité douce pour un environnement apaisant à domicile.;Aluminium;Blanc Satiné;Modern Rétro
P00025;CAT05;SC023;MAR011;FOU028;Lunaire;Suspension contemporaine offrant une lumière douce et diffusée.;Aluminium poli;Blanc éclatant;Scandinave
P00026;CAT04;SC018;MAR002;FOU007;Miroir Manhattan;Miroir large avec cadre en cuivre patiné offrant une réflexion claire et élégante.;Verre;Cuivre patiné;Contemporain
P00027;CAT09;SC041;MAR010;FOU030;Canapé Relaxo;Canapé extérieur robuste pour profiter des beaux jours.;Plastique résistant;Beige;Scandinave
P00028;CAT10;SC047;MAR006;FOU002;Chaise Espace;Chaise ergonomique offrant confort et mobilité pour votre espace de travail.;Aluminium et mousse polyuréthane;Grise mat;Contemporain
